epoch,loss_mean,loss_std,loss_min,loss_max,loss_median,lr,grad_norm,epoch_time_sec,samples_per_sec,batches_per_sec,num_batches,num_samples,gpu_mem_allocated_mb,gpu_mem_reserved_mb,gpu_mem_peak_mb,ema_delta_norm,wall_clock_sec,cumulative_time_sec,cumulative_samples
0,0.1381496418624708,0.15340664730453352,0.05435186251997948,0.9722687602043152,0.08871179819107056,0.0001,0.6564313115731989,46.637693643569946,601.0588819900797,1.5652575051824993,73,28032,643.017216,34821.111808,30981.92896,4.481163164509624,47.37832021713257,47.37832021713257,28032
1,0.04475307352330587,0.007530972334855462,0.03134218603372574,0.06430145353078842,0.04402989149093628,0.0001,0.20411380031630574,45.47942662239075,616.3666097364361,1.605121379521969,73,28032,643.672576,34821.111808,30981.92896,5.176400276685813,92.95146751403809,92.95146751403809,56064
2,0.03124229862571579,0.0037467278027175184,0.024067655205726624,0.043837711215019226,0.030805964022874832,0.0001,0.1548593853931576,45.52709245681763,615.7212878592743,1.6034408538001934,73,28032,644.459008,34821.111808,30981.92896,5.7111124301107346,138.57358241081238,138.57358241081238,84096
3,0.025737707464866443,0.0019254961976787688,0.022352203726768494,0.030637910589575768,0.025877436622977257,0.0001,0.1245409769583403,45.51818656921387,615.8417571705149,1.6037545759648826,73,28032,643.93472,34821.111808,30981.92896,6.142579353336147,184.21319723129272,184.21319723129272,112128
4,0.02390887098361368,0.0020001201236459366,0.019810911267995834,0.028237350285053253,0.023762274533510208,0.0001,0.1384638473081188,45.52327036857605,615.7729832026747,1.6035754770902988,73,28032,643.017216,34821.111808,30981.92896,6.457037857815337,229.865567445755,229.865567445755,140160
5,0.02155857594454125,0.0015769943588622916,0.01843435689806938,0.025197867304086685,0.021254926919937134,0.0001,0.10666822220412236,45.54026222229004,615.5432277304612,1.6029771555480763,73,28032,643.93472,34821.111808,30981.92896,6.695176697419152,275.4983673095703,275.4983673095703,168192
6,0.02020438732451772,0.001532587169695774,0.016750656068325043,0.024305880069732666,0.020160024985671043,0.0001,0.10270869683067012,45.56102156639099,615.2627626918351,1.6022467778433205,73,28032,642.886144,34821.111808,30981.92896,6.870401410927286,321.15191102027893,321.15191102027893,196224
7,0.01898626332515723,0.0013929565145731613,0.016112027689814568,0.022146552801132202,0.01888802833855152,0.0001,0.10048914389843687,45.56756949424744,615.1743512135057,1.6020165396185044,73,28032,642.335744,34821.111808,30981.92896,6.982881769306555,366.8312945365906,366.8312945365906,224256
8,0.01778662703574112,0.0012170827164586279,0.014802180230617523,0.019985631108283997,0.017710331827402115,0.0001,0.11126754286974484,45.544896364212036,615.4805969001347,1.6028140544274343,73,28032,642.624,34821.111808,30981.92896,7.082200845099108,412.48801016807556,412.48801016807556,252288
9,0.016002630968004056,0.001186839968788444,0.013168121688067913,0.018687745556235313,0.015733715146780014,0.0001,0.10335888418856315,45.51399326324463,615.8984960486334,1.603902333459983,73,28032,643.148288,34821.111808,30981.92896,7.135500267218404,458.1150176525116,458.1150176525116,280320
10,0.015344489799582795,0.0011114359034291158,0.01353300642222166,0.018877476453781128,0.015236354433000088,0.0001,0.10936988554476133,45.52102780342102,615.8033188761464,1.6036544762399645,73,28032,643.93472,34821.111808,30981.92896,7.136609704883228,503.7310748100281,503.7310748100281,308352
11,0.014643414966660002,0.0008660204998693584,0.012781242839992046,0.017782723531126976,0.014486867934465408,0.0001,0.09974787972032646,45.484617948532104,616.2962615563678,1.6049381811363743,73,28032,642.427392,34821.111808,30981.92896,7.088267143876759,549.3094654083252,549.3094654083252,336384
12,0.014195658929952204,0.0008499773970948284,0.012201420031487942,0.0169864222407341,0.01412458997219801,0.0001,0.11147294868219818,45.48180365562439,616.3343963280465,1.6050374904376212,73,28032,641.837568,34821.111808,30981.92896,7.018351904254519,594.9066805839539,594.9066805839539,364416
13,0.013795749871187831,0.0009138766078837724,0.011694001965224743,0.016834013164043427,0.013723915442824364,0.0001,0.10141622263510938,45.52647018432617,615.7297037636545,1.60346277021785,73,28032,643.410432,34821.111808,30981.92896,6.934012436513694,640.5450367927551,640.5450367927551,392448
14,0.013735351446148467,0.0008556353009213275,0.011946471408009529,0.01644459366798401,0.013795152306556702,0.0001,0.11468298397314954,45.57144737243652,615.1220032777563,1.601880216869157,73,28032,642.991104,34821.111808,30981.92896,6.842970673412943,686.2280673980713,686.2280673980713,420480
15,0.013418074493130592,0.0006924343689889273,0.01189715601503849,0.015007651410996914,0.013457449153065681,0.0001,0.08599303819446526,45.55666923522949,615.3215428296179,1.6023998511187967,73,28032,642.886144,34821.111808,30981.92896,6.7478679851039125,731.8946533203125,731.8946533203125,448512
16,0.013338507727196771,0.0008260268291468926,0.011241684667766094,0.015532806515693665,0.013289086520671844,0.0001,0.11629771697342609,45.51653504371643,615.8641024207274,1.603812766720644,73,28032,642.204672,34821.111808,30981.92896,6.648536557137377,777.5605933666229,777.5605933666229,476544
17,0.013119069693533525,0.0008051878534226007,0.011498628184199333,0.015526704490184784,0.013186020776629448,0.0001,0.09460862886262723,45.486921310424805,616.2650536116973,1.6048569104471284,73,28032,644.459008,34821.111808,30981.92896,6.54953288194353,823.1443135738373,823.1443135738373,504576
18,0.012897876461278903,0.0007655181312971023,0.011236099526286125,0.014789014123380184,0.012980597093701363,0.0001,0.09000705804168069,45.51420855522156,615.8955827165331,1.6038947466576385,73,28032,643.410432,34821.111808,30981.92896,6.451371778835621,868.7585229873657,868.7585229873657,532608
