epoch,loss_mean,loss_std,loss_min,loss_max,loss_median,lr,grad_norm,epoch_time_sec,samples_per_sec,batches_per_sec,num_batches,num_samples,gpu_mem_allocated_mb,gpu_mem_reserved_mb,gpu_mem_peak_mb,ema_delta_norm,wall_clock_sec,cumulative_time_sec,cumulative_samples
0,0.050978477189234706,0.09633961889527605,0.013425935059785843,1.134415864944458,0.02904677763581276,0.0001,0.3955986510545721,174.4100842475891,161.27507833818856,1.6799487326894642,293,28128,1353.445888,30293.36064,26708.483584,5.98040968220261,175.50319647789001,175.50319647789001,28128
1,0.014497875703225364,0.0026757357535386332,0.0094642024487257,0.02427939884364605,0.014130700379610062,0.0001,0.1567698719296364,174.07472825050354,161.5857757337538,1.6831851638932687,293,28128,1353.121792,30293.36064,26708.2752,7.388070312195498,349.73639726638794,349.73639726638794,56256
2,0.009908229716554437,0.0018544216251024678,0.006510794162750244,0.01519342977553606,0.009642905555665493,0.0001,0.1358079657406382,173.9187171459198,161.730723763333,1.6846950392013853,293,28128,1353.55136,30293.36064,26708.2752,8.476218957641628,523.8292863368988,523.8292863368988,84384
3,0.00801371805585997,0.0010192301621595966,0.005594238638877869,0.012264741584658623,0.007891959510743618,0.0001,0.1256582528242066,173.84340977668762,161.80078402817867,1.6854248336268614,293,28128,1355.275264,30293.36064,26708.2752,8.30447847341207,697.8899295330048,697.8899295330048,112512
4,0.007458930172394872,0.0009396174401440714,0.005328582599759102,0.011372462846338749,0.007375496905297041,0.0001,0.12388270232148277,173.5131676197052,162.10873437368804,1.6886326497259172,293,28128,1354.2016,30293.36064,26708.2752,8.06711191272755,871.6213889122009,871.6213889122009,140640
5,0.006964623084158315,0.0008102656622919164,0.005080349277704954,0.00934412982314825,0.006913443561643362,0.0001,0.13013380372008984,173.52815103530884,162.09473697600006,1.6884868435000007,293,28128,1353.800704,30293.36064,26708.2752,7.869350832255058,1045.3386752605438,1045.3386752605438,168768
6,0.006748296139259591,0.000827986570562782,0.004825794603675604,0.010326412506401539,0.006607952062040567,0.0001,0.14477061467512797,173.73157286643982,161.9049406846967,1.686509798798924,293,28128,1353.445888,30293.36064,26708.2752,7.760070846789741,1219.2558324337006,1219.2558324337006,196896
7,0.006472708013722413,0.000797116359178537,0.004660514649003744,0.009431595914065838,0.006401302758604288,0.0001,0.11545916079369974,173.816792011261,161.82556169934193,1.6856829343681452,293,28128,1353.121792,30293.36064,26708.2752,7.711270255782959,1393.270079612732,1393.270079612732,225024
8,0.006307020723031446,0.0006787071061771039,0.004850089084357023,0.008572926744818687,0.006258504930883646,0.0001,0.11808903275786323,173.7090458869934,161.92593688125314,1.6867285091797202,293,28128,1353.55136,30293.36064,26708.2752,7.698161923102139,1567.1751732826233,1567.1751732826233,253152
9,0.006162957293092696,0.0006574995436004461,0.0046128444373607635,0.008372769691050053,0.006137340795248747,0.0001,0.11394492470995558,173.64142727851868,161.988993299871,1.6873853468736564,293,28128,1355.275264,30293.36064,26708.2752,7.723321226514945,1740.9821598529816,1740.9821598529816,281280
10,0.0060872235796303065,0.0006717134722610588,0.004162192344665527,0.008070321753621101,0.0060662212781608105,0.0001,0.1217197276280733,173.57654762268066,162.04954174537696,1.6880160598476766,293,28128,1354.2016,30293.36064,26708.2752,7.794919329111081,1914.740300655365,1914.740300655365,309408
11,0.00589288545632576,0.0006545393312469886,0.00463939318433404,0.008440054021775723,0.005819170270115137,0.0001,0.1076766233693956,173.49960565567017,162.1214059461509,1.6887646452724052,293,28128,1353.800704,30293.36064,26708.2752,7.905529823941557,2088.400538444519,2088.400538444519,337536
12,0.005847658933404159,0.0006805496997239991,0.0040970901027321815,0.009355582296848297,0.005806126166135073,0.0001,0.119056043717612,173.42369294166565,162.19237131261752,1.6895038678397658,293,28128,1353.445888,30293.36064,26708.2752,8.10089722812839,2262.026759624481,2262.026759624481,365664
13,0.005721718668874111,0.0006454947530534421,0.004262510687112808,0.008343837223947048,0.005648609716445208,0.0001,0.10515709767385639,173.7348370552063,161.90189876001665,1.6864781120835068,293,28128,1353.121792,30293.36064,26708.2752,8.217838454156066,2435.9250524044037,2435.9250524044037,393792
14,0.00561853878695912,0.0006467922098752988,0.00407129991799593,0.0076994094997644424,0.005531451664865017,0.0001,0.11918452461618113,173.65071177482605,161.98033231486983,1.6872951282798938,293,28128,1353.55136,30293.36064,26708.2752,8.256582887762391,2609.7675273418427,2609.7675273418427,421920
15,0.005507232049168581,0.0006069487137390831,0.004025456961244345,0.0072729024104774,0.005474323406815529,0.0001,0.11452498236239832,173.72368955612183,161.9122876786081,1.6865863299855008,293,28128,1355.275264,30293.36064,26708.2752,8.25226750083687,2783.6552546024323,2783.6552546024323,450048
16,0.005450913572919145,0.0005716606673111194,0.003920428454875946,0.007018888834863901,0.005392130929976702,0.0001,0.10942104652424264,173.7270781993866,161.9091294894023,1.6865534321812736,293,28128,1354.2016,30293.36064,26708.2752,8.234224589441608,2957.5652589797974,2957.5652589797974,478176
17,0.0053292225653769724,0.0005416209759219446,0.0038873658049851656,0.006870401091873646,0.0053240577690303326,0.0001,0.1056385995974967,173.7898325920105,161.85066514238133,1.6859444285664722,293,28128,1353.800704,30293.36064,26708.2752,8.16852887663859,3131.5418343544006,3131.5418343544006,506304
18,0.0052738055084599975,0.0006354802277497245,0.003942784853279591,0.008069491013884544,0.005199100356549025,0.0001,0.11763294935305098,173.70638704299927,161.9284154072999,1.686754327159374,293,28128,1353.445888,30293.36064,26708.2752,8.082532430841209,3305.4429380893707,3305.4429380893707,534432
19,0.0051451626920328815,0.0005602093354898948,0.004010937642306089,0.008152115158736706,0.005040068179368973,0.0001,0.11983153367752605,173.73781180381775,161.89912666657582,1.6864492361101646,293,28128,1353.121792,30293.36064,26708.2752,7.997255627554421,3479.372359275818,3479.372359275818,562560
20,0.005117493446395055,0.0005416064452887999,0.0038195508532226086,0.007224613800644875,0.005064728669822216,0.0001,0.11423910551291687,173.7387285232544,161.89827241791488,1.6864403376866135,293,28128,1353.55136,30293.36064,26708.2752,7.866167194381772,3653.2743763923645,3653.2743763923645,590688
21,0.005091897107075913,0.0006039893841246289,0.0037220166996121407,0.007558994926512241,0.004990444518625736,0.0001,0.10991805425571492,173.6690263748169,161.96325036851096,1.6871171913386558,293,28128,1355.275264,30293.36064,26708.2752,7.752061276217129,3827.131017446518,3827.131017446518,618816
22,0.005060062967812954,0.0005503944641439914,0.0036754116881638765,0.0067572263069450855,0.005016951821744442,0.0001,0.1093801229635839,173.65506625175476,161.97627058701357,1.6872528186147249,293,28128,1354.2016,30293.36064,26708.2752,7.643687014649637,4000.9772987365723,4000.9772987365723,646944
